ano,cod_ibge,nome_municipio,uf,pib
2015,1704600,Chapada de Areia - TO,TO,19606
2015,1705102,Chapada da Natividade - TO,TO,60989
2015,1705508,Colinas do Tocantins - TO,TO,577208
2015,1705557,Combinado - TO,TO,53659
2015,1705607,Conceição do Tocantins - TO,TO,41708
2015,1706001,Couto Magalhães - TO,TO,76717
2015,1706100,Cristalândia - TO,TO,98549
2015,1706258,Crixás do Tocantins - TO,TO,37604
2015,1706506,Darcinópolis - TO,TO,73666
2015,1707009,Dianópolis - TO,TO,249360
2015,1707108,Divinópolis do Tocantins - TO,TO,97208
2015,1707207,Dois Irmãos do Tocantins - TO,TO,79790
2015,1707306,Dueré - TO,TO,116330
2015,1707405,Esperantina - TO,TO,74414
2015,1707553,Fátima - TO,TO,60454
2015,1707652,Figueirópolis - TO,TO,137387
2015,1707702,Filadélfia - TO,TO,87910
2015,1708205,Formoso do Araguaia - TO,TO,357367
2015,1708254,Tabocão - TO,TO,137466
2015,1708304,Goianorte - TO,TO,55482
2015,1709005,Goiatins - TO,TO,134107
2015,1709302,Guaraí - TO,TO,574531
2015,1709500,Gurupi - TO,TO,1842379
2015,1709807,Ipueiras - TO,TO,30311
2015,1710508,Itacajá - TO,TO,78678
2015,1710706,Itaguatins - TO,TO,50622
2015,1710904,Itapiratins - TO,TO,55777
2015,1711100,Itaporã do Tocantins - TO,TO,38491
2015,1711506,Jaú do Tocantins - TO,TO,47108
2015,1711803,Juarina - TO,TO,29238
2015,1711902,Lagoa da Confusão - TO,TO,454390
2015,1711951,Lagoa do Tocantins - TO,TO,33124
2015,1712009,Lajeado - TO,TO,54901
2015,1712157,Lavandeira - TO,TO,19121
2015,1712405,Lizarda - TO,TO,30967
2015,1712454,Luzinópolis - TO,TO,32511
2015,1712504,Marianópolis do Tocantins - TO,TO,82552
2015,1712702,Mateiros - TO,TO,103507
2015,1712801,Maurilândia do Tocantins - TO,TO,28407
2015,1713205,Miracema do Tocantins - TO,TO,503060
2015,1713304,Miranorte - TO,TO,203125
2015,1713601,Monte do Carmo - TO,TO,118830
2015,1713700,Monte Santo do Tocantins - TO,TO,30087
2015,1713809,Palmeiras do Tocantins - TO,TO,58073
2015,1713957,Muricilândia - TO,TO,38245
2015,1714203,Natividade - TO,TO,121955
2015,1714302,Nazaré - TO,TO,43100
2015,1714880,Nova Olinda - TO,TO,253617
2015,1715002,Nova Rosalândia - TO,TO,40683
2015,1715101,Novo Acordo - TO,TO,40814
2015,1715150,Novo Alegre - TO,TO,23634
2015,1715259,Novo Jardim - TO,TO,26534
2015,1715507,Oliveira de Fátima - TO,TO,18408
2015,1715705,Palmeirante - TO,TO,74792
2015,1715754,Palmeirópolis - TO,TO,104183
2015,1716109,Paraíso do Tocantins - TO,TO,1011003
2015,1716208,Paranã - TO,TO,195055
2015,1716307,Pau D'Arco - TO,TO,55419
2015,1716505,Pedro Afonso - TO,TO,586469
2015,1716604,Peixe - TO,TO,545343
2015,1716653,Pequizeiro - TO,TO,70727
2015,1716703,Colméia - TO,TO,109809
2015,1717008,Pindorama do Tocantins - TO,TO,44280
2015,1717206,Piraquê - TO,TO,46092
2015,1717503,Pium - TO,TO,115757
2015,1717800,Ponte Alta do Bom Jesus - TO,TO,40987
2015,1717909,Ponte Alta do Tocantins - TO,TO,68534
2015,1718006,Porto Alegre do Tocantins - TO,TO,27128
2015,1718204,Porto Nacional - TO,TO,1372034
2015,1718303,Praia Norte - TO,TO,59264
2015,1718402,Presidente Kennedy - TO,TO,45711
2015,1718451,Pugmil - TO,TO,44426
2015,1718501,Recursolândia - TO,TO,38136
2015,1718550,Riachinho - TO,TO,40528
2015,1718659,Rio da Conceição - TO,TO,16807
2015,1718709,Rio dos Bois - TO,TO,37085
2015,1718758,Rio Sono - TO,TO,53285
2015,1718808,Sampaio - TO,TO,31457
2015,1718840,Sandolândia - TO,TO,60076
2015,1718865,Santa Fé do Araguaia - TO,TO,91519
2015,1718881,Santa Maria do Tocantins - TO,TO,45500
2015,1718899,Santa Rita do Tocantins - TO,TO,46003
2015,1718907,Santa Rosa do Tocantins - TO,TO,109430
2015,1719004,Santa Tereza do Tocantins - TO,TO,24716
2015,1720002,Santa Terezinha do Tocantins - TO,TO,26833
2015,1720101,São Bento do Tocantins - TO,TO,43047
2015,1720150,São Félix do Tocantins - TO,TO,15009
2015,1720200,São Miguel do Tocantins - TO,TO,81610
2015,1720259,São Salvador do Tocantins - TO,TO,28872
2015,1720309,São Sebastião do Tocantins - TO,TO,37170
2015,1720499,São Valério - TO,TO,89407
2015,1720655,Silvanópolis - TO,TO,114823
2015,1720804,Sítio Novo do Tocantins - TO,TO,74661
2015,1720853,Sucupira - TO,TO,54742
2015,1720903,Taguatinga - TO,TO,265931
2015,1720937,Taipas do Tocantins - TO,TO,20313
2015,1720978,Talismã - TO,TO,66286
2015,1721000,Palmas - TO,TO,7394463
2015,1721109,Tocantínia - TO,TO,58998
2015,1721208,Tocantinópolis - TO,TO,242602
2015,1721257,Tupirama - TO,TO,47485
2015,1721307,Tupiratins - TO,TO,24533
2015,1722081,Wanderlândia - TO,TO,138573
2015,1722107,Xambioá - TO,TO,313481
2015,2100055,Açailândia - MA,MA,2015260
2015,2100105,Afonso Cunha - MA,MA,36080
2015,2100154,Água Doce do Maranhão - MA,MA,64838
2015,2100204,Alcântara - MA,MA,104435
2015,2100303,Aldeias Altas - MA,MA,208642
2015,2100402,Altamira do Maranhão - MA,MA,60097
2015,2100436,Alto Alegre do Maranhão - MA,MA,202298
2015,2100477,Alto Alegre do Pindaré - MA,MA,145518
2015,2100501,Alto Parnaíba - MA,MA,310911
2015,2100550,Amapá do Maranhão - MA,MA,39113
2015,2100600,Amarante do Maranhão - MA,MA,251507
2015,2100709,Anajatuba - MA,MA,149010
2015,2100808,Anapurus - MA,MA,109529
2015,2100832,Apicum-Açu - MA,MA,90648
2015,2100873,Araguanã - MA,MA,64860
2015,2100907,Araioses - MA,MA,234546
2015,2100956,Arame - MA,MA,180057
2015,2101004,Arari - MA,MA,210033
2015,2101103,Axixá - MA,MA,61582
2015,2101202,Bacabal - MA,MA,1017126
2015,2101251,Bacabeira - MA,MA,281332
2015,2101301,Bacuri - MA,MA,84818
2015,2101350,Bacurituba - MA,MA,28661
2015,2101400,Balsas - MA,MA,2627847
2015,2101509,Barão de Grajaú - MA,MA,190307
2015,2101608,Barra do Corda - MA,MA,551109
2015,2101707,Barreirinhas - MA,MA,389696
2015,2101731,Belágua - MA,MA,35840
2015,2101772,Bela Vista do Maranhão - MA,MA,59913
2015,2101806,Benedito Leite - MA,MA,34438
2015,2101905,Bequimão - MA,MA,98839
2015,2101939,Bernardo do Mearim - MA,MA,45301
2015,2101970,Boa Vista do Gurupi - MA,MA,55211
2015,2102002,Bom Jardim - MA,MA,244297
2015,2102036,Bom Jesus das Selvas - MA,MA,234594
2015,2102077,Bom Lugar - MA,MA,79867
2015,2102101,Brejo - MA,MA,221320
2015,2102150,Brejo de Areia - MA,MA,52915
2015,2102200,Buriti - MA,MA,153571
2015,2102309,Buriti Bravo - MA,MA,130033
2015,2102325,Buriticupu - MA,MA,473539
2015,2102358,Buritirana - MA,MA,75849
2015,2102374,Cachoeira Grande - MA,MA,49531
2015,2102408,Cajapió - MA,MA,43933
2015,2102507,Cajari - MA,MA,89360
2015,2102556,Campestre do Maranhão - MA,MA,133814
2015,2102606,Cândido Mendes - MA,MA,103628
2015,2102705,Cantanhede - MA,MA,109901
2015,2102754,Capinzal do Norte - MA,MA,82744
2015,2102804,Carolina - MA,MA,285178
2015,2102903,Carutapera - MA,MA,144879
2015,2103000,Caxias - MA,MA,1451640
2015,2103109,Cedral - MA,MA,54388
2015,2103125,Central do Maranhão - MA,MA,36429
2015,2103158,Centro do Guilherme - MA,MA,62216
2015,2103174,Centro Novo do Maranhão - MA,MA,117381
2015,2103208,Chapadinha - MA,MA,551380
2015,2103257,Cidelândia - MA,MA,129559
2015,2103307,Codó - MA,MA,880433
2015,2103406,Coelho Neto - MA,MA,350541
2015,2103505,Colinas - MA,MA,304072
2015,2103554,Conceição do Lago-Açu - MA,MA,95176
2015,2103604,Coroatá - MA,MA,354079
2015,2103703,Cururupu - MA,MA,183721
2015,2103752,Davinópolis - MA,MA,418091
2015,2103802,Dom Pedro - MA,MA,206382
2015,2103901,Duque Bacelar - MA,MA,56055
2015,2104008,Esperantinópolis - MA,MA,119781
2015,2104057,Estreito - MA,MA,686504
2015,2104073,Feira Nova do Maranhão - MA,MA,82182
2015,2104081,Fernando Falcão - MA,MA,46982
2015,2104099,Formosa da Serra Negra - MA,MA,113576
2015,2104107,Fortaleza dos Nogueiras - MA,MA,125562
2015,2104206,Fortuna - MA,MA,89291
2015,2104305,Godofredo Viana - MA,MA,122213
2015,2104404,Gonçalves Dias - MA,MA,107551
2015,2104503,Governador Archer - MA,MA,64251
2015,2104552,Governador Edison Lobão - MA,MA,272121
2015,2104602,Governador Eugênio Barros - MA,MA,88280
2015,2104628,Governador Luiz Rocha - MA,MA,44583
2015,2104651,Governador Newton Bello - MA,MA,52381
2015,2104677,Governador Nunes Freire - MA,MA,168186
2015,2104701,Graça Aranha - MA,MA,36882
2015,2104800,Grajaú - MA,MA,530213
2015,2104909,Guimarães - MA,MA,62826
2015,2105005,Humberto de Campos - MA,MA,119233
2015,2105104,Icatu - MA,MA,118202
2015,2105153,Igarapé do Meio - MA,MA,122983
2015,2105203,Igarapé Grande - MA,MA,71854
2015,2105302,Imperatriz - MA,MA,6010806
2015,2105351,Itaipava do Grajaú - MA,MA,64866
2015,2105401,Itapecuru Mirim - MA,MA,482128
2015,2105427,Itinga do Maranhão - MA,MA,230848
2015,2105450,Jatobá - MA,MA,48820
2015,2105476,Jenipapo dos Vieiras - MA,MA,80687
2015,2105500,João Lisboa - MA,MA,179947
2015,2105609,Joselândia - MA,MA,81379
2015,2105658,Junco do Maranhão - MA,MA,33135
2015,2105708,Lago da Pedra - MA,MA,325781
2015,2105807,Lago do Junco - MA,MA,56901
2015,2105906,Lago Verde - MA,MA,88235
2015,2105922,Lagoa do Mato - MA,MA,61006
2015,2105948,Lago dos Rodrigues - MA,MA,59923
2015,2105963,Lagoa Grande do Maranhão - MA,MA,71234
2015,2105989,Lajeado Novo - MA,MA,53484
2015,2106003,Lima Campos - MA,MA,156075
2015,2106102,Loreto - MA,MA,154107
2015,2106201,Luís Domingues - MA,MA,33374
2015,2106300,Magalhães de Almeida - MA,MA,94846
2015,2106326,Maracaçumé - MA,MA,136500
2015,2106359,Marajá do Sena - MA,MA,47346
2015,2106375,Maranhãozinho - MA,MA,81647
2015,2106409,Mata Roma - MA,MA,103640
2015,2106508,Matinha - MA,MA,129416
2015,2106607,Matões - MA,MA,151744
2015,2106631,Matões do Norte - MA,MA,68371
2015,2106672,Milagres do Maranhão - MA,MA,43703
2015,2106706,Mirador - MA,MA,156196
2015,2106755,Miranda do Norte - MA,MA,462700
2015,2106805,Mirinzal - MA,MA,77271
2015,2106904,Monção - MA,MA,168448
2015,2107001,Montes Altos - MA,MA,53958
2015,2107100,Morros - MA,MA,96239
2015,2107209,Nina Rodrigues - MA,MA,53316
2015,2107258,Nova Colinas - MA,MA,49458
