INSTITUICAO,COD_IBGE,UF,POPULACAO,INDICADOR_1,NOTA_1,INDICADOR_2,NOTA_2,INDICADOR_3,NOTA_3,CLASSIFICACAO_CAPAG,ANO_BASE
Prefeitura Municipal de Nova Itarana - BA,2922805,BA,8172,"0,517268493",A,"0,929407453",B,"26,52936009",C,C,2019
Prefeitura Municipal de Nova Lacerda - MT,5106182,MT,,,n.d.,"0,854523283",A,"0,67463745",A,n.d.,2019
Prefeitura Municipal de Nova Laranjeiras - PR,4117057,PR,11603,"0,125007574",A,"0,906758792",B,"0,189507929",A,B,2019
Prefeitura Municipal de Nova Lima - MG,3144805,MG,93577,"0,054207177",A,"0,802179664",A,"0,002848339",A,A,2019
Prefeitura Municipal de Nova Londrina - PR,4117107,PR,13225,"0,800811385",B,"0,956560645",C,"0,10346612",A,C,2019
Prefeitura Municipal de Nova Luzitânia - SP,3533304,SP,4041,"0,001451034",A,"0,904066219",B,"0,04770244",A,B,2019
Prefeitura Municipal de Nova Mamoré - RO,1100338,RO,29757,"0,046678317",A,"0,851160278",A,"0,555274947",A,A,2019
Prefeitura Municipal de Nova Marilândia - MT,5108857,MT,3249,"0,003939851",A,"0,903414504",B,,n.d.,n.d.,2019
Prefeitura Municipal de Nova Maringá - MT,5108907,MT,8428,,n.d.,"0,99139181",C,"0,137499216",A,n.d.,2019
Prefeitura Municipal de Nova Módica - MG,3144904,MG,3627,"0,129382879",A,"0,832676673",A,"-237,0214735",C,C,2019
Prefeitura Municipal de Nova Monte Verde - MT,5108956,MT,9078,"0,028061961",A,"1,006248478",C,"0,048488382",A,C,2019
Prefeitura Municipal de Nova Mutum - MT,5106224,MT,43919,"0,110955228",A,"0,847990172",A,"0,040397045",A,A,2019
Prefeitura Municipal de Nova Nazaré - MT,5106174,MT,3765,,n.d.,"0,958574096",C,"0,208173949",A,n.d.,2019
Prefeitura Municipal de Nova Odessa - SP,3533403,SP,59371,"0,092209162",A,"0,896558986",A,"0,026938642",A,A,2019
Prefeitura Municipal de Nova Olímpia - MT,5106232,MT,20034,,n.d.,"0,914058796",B,"0,566857498",A,n.d.,2019
Prefeitura Municipal de Nova Olímpia - PR,4117206,PR,5785,"0,075547222",A,"1,014449233",C,"-0,10276135",C,C,2019
Prefeitura Municipal de Nova Olinda - CE,2309201,CE,15520,"0,250878934",A,"0,850321154",A,"0,786368744",A,A,2019
Prefeitura Municipal de Nova Olinda - PB,2510204,PB,5978,"0,454986827",A,"1,019807131",C,"3,030957782",C,C,2019
Prefeitura Municipal de Nova Olinda - TO,1714880,TO,11719,"0,087496311",A,"0,947102732",B,"1,09071078",C,C,2019
Prefeitura Municipal de Nova Olinda do Maranhão - MA,2107357,MA,20774,"0,001461889",A,"1,009188659",C,,n.d.,n.d.,2019
Prefeitura Municipal de Nova Olinda do Norte - AM,1303106,AM,36721,"0,049466539",A,"1,276990638",C,"6,701202931",C,C,2019
Prefeitura Municipal de Nova Pádua - RS,4313086,RS,2548,,n.d.,"0,774701743",A,"0,119291238",A,n.d.,2019
Prefeitura Municipal de Nova Palma - RS,4313102,RS,6508,"0,02979924",A,"0,826916974",A,"0,532016889",A,A,2019
Prefeitura Municipal de Nova Palmeira - PB,2510303,PB,4840,"0,266280019",A,"1,017444416",C,"1,248042487",C,C,2019
Prefeitura Municipal de Nova Petrópolis - RS,4313201,RS,21156,"0,009863147",A,"0,956003675",C,"0,128404295",A,C,2019
Prefeitura Municipal de Nova Ponte - MG,3145000,MG,15280,"0,044196709",A,"0,173523472",A,"0,310371292",A,A,2019
Prefeitura Municipal de Nova Porteirinha - MG,3145059,MG,7504,"0,194488098",A,"0,984152858",C,"0,308765781",A,C,2019
Prefeitura Municipal de Nova Prata - RS,4313300,RS,26849,"0,000103586",A,"0,878787476",A,"0,231209011",A,A,2019
Prefeitura Municipal de Nova Prata do Iguaçu - PR,4117255,PR,10552,"0,078575923",A,"0,764547247",A,"0,209368495",A,A,2019
Prefeitura Municipal de Nova Ramada - RS,4313334,RS,2268,,n.d.,"0,857282046",A,"0,005296017",A,n.d.,2019
Prefeitura Municipal de Nova Redenção - BA,2922854,BA,9115,"0,795277386",B,"1,02172157",C,,n.d.,n.d.,2019
Prefeitura Municipal de Nova Resende - MG,3145109,MG,16610,"0,117400064",A,"0,913459192",B,,n.d.,n.d.,2019
Prefeitura Municipal de Nova Roma - GO,5214903,GO,,,n.d.,,n.d.,,n.d.,n.d.,2019
Prefeitura Municipal de Nova Roma do Sul - RS,4313359,RS,3661,"0,007603027",A,"0,81943328",A,"0,032689251",A,A,2019
Prefeitura Municipal de Nova Rosalândia - TO,1715002,TO,4215,,n.d.,"0,966273101",C,"0,053390159",A,n.d.,2019
Prefeitura Municipal de Nova Russas - CE,2309300,CE,32262,"0,052462844",A,"0,938948894",B,,n.d.,n.d.,2019
Prefeitura Municipal de Nova Santa Bárbara - PR,4117214,PR,4220,"0,045508177",A,"0,944020939",B,"0,023881787",A,B,2019
Prefeitura Municipal de Nova Santa Helena - MT,5106190,MT,3699,,n.d.,"0,962993137",C,"0,000136306",A,n.d.,2019
Prefeitura Municipal de Nova Santa Rita - PI,2207959,PI,4365,"0,257600049",A,"0,941166094",B,"2,976376213",C,C,2019
Prefeitura Municipal de Nova Santa Rita - RS,4313375,RS,28670,"0,014455718",A,"0,763261905",A,"0,049525737",A,A,2019
Prefeitura Municipal de Nova Santa Rosa - PR,4117222,PR,8171,"0,140868738",A,"0,914457322",B,"0,05536166",A,B,2019
Prefeitura Municipal de Nova Serrana - MG,3145208,MG,99770,"0,236920925",A,"0,954057395",C,"13,0152681",C,C,2019
Prefeitura Municipal de Nova Soure - BA,2922904,BA,24493,"0,702597963",B,"1,004809369",C,"2,045540113",C,C,2019
Prefeitura Municipal de Nova Tebas - PR,4117271,PR,5856,"0,159974128",A,"0,959096663",C,"0,513124321",A,C,2019
Prefeitura Municipal de Nova Timboteua - PA,1505007,PA,15218,,n.d.,"0,899600626",A,,n.d.,n.d.,2019
Prefeitura Municipal de Nova Trento - SC,4211504,SC,14312,"0,038700951",A,"0,87401913",A,"0,004331387",A,A,2019
Prefeitura Municipal de Nova Ubiratã - MT,5106240,MT,11694,"0,020021301",A,"0,901765216",B,"0,061713326",A,B,2019
Prefeitura Municipal de Nova União - MG,3136603,MG,5718,"0,053896555",A,"1,011852013",C,"0,646145177",A,C,2019
Prefeitura Municipal de Nova União - RO,1101435,RO,7047,"0,165115156",A,"0,849727764",A,"0,008963922",A,A,2019
Prefeitura Municipal de Nova Venécia - ES,3203908,ES,49780,"0,045194817",A,"0,953113436",C,"0,465188091",A,C,2019
Prefeitura Municipal de Nova Veneza - GO,5215009,GO,,,n.d.,"0,971464772",C,"1,186921645",C,n.d.,2019
Prefeitura Municipal de Nova Veneza - SC,4211603,SC,14987,"0,069989847",A,,n.d.,"-0,034794809",C,n.d.,2019
Prefeitura Municipal de Nova Viçosa - BA,2923001,BA,42950,"0,381962541",A,"0,899724272",A,"0,771673015",A,A,2019
Prefeitura Municipal de Nova Xavantina - MT,5106257,MT,21231,"0,064364558",A,"0,919500022",B,"8,962802712",C,C,2019
Prefeitura Municipal de Novais - SP,3533254,SP,5712,"0,089091947",A,"0,980444553",C,"2,221746855",C,C,2019
Prefeitura Municipal de Novo Acordo - TO,1715101,TO,4287,"0,327504246",A,"0,994111821",C,,n.d.,n.d.,2019
Prefeitura Municipal de Novo Airão - AM,1303205,AM,18974,,n.d.,"0,963787594",C,"3,429040958",C,n.d.,2019
Prefeitura Municipal de Novo Alegre - TO,1715150,TO,2332,"0,000609098",A,"0,971455101",C,"0,137089468",A,C,2019
Prefeitura Municipal de Novo Aripuanã - AM,1303304,AM,25237,"0,06338002",A,"1,26693456",C,"1,636973338",C,C,2019
Prefeitura Municipal de Novo Barreiro - RS,4313490,RS,4154,"0,281453254",A,"0,87119622",A,"3,993464706",C,C,2019
Prefeitura Municipal de Novo Brasil - GO,5215207,GO,2985,,n.d.,"0,954513969",C,,n.d.,n.d.,2019
Prefeitura Municipal de Novo Cabrais - RS,4313391,RS,4169,,n.d.,"0,978383244",C,"0,22219711",A,n.d.,2019
Prefeitura Municipal de Novo Cruzeiro - MG,3145307,MG,31326,"0,202585341",A,"0,957977907",C,"2,120860043",C,C,2019
